feature,importance
sepal_length,0.000605304304468708
sepal_width,0.0004200731850031167
petal_length,0.03502772452420504
petal_width,0.06609163289407043
sepal_length_quantile_bin,0.0
sepal_width_quantile_bin,0.00022009502515371715
petal_length_quantile_bin,0.0
petal_width_quantile_bin,0.06722880204856728
sepal_length_uniform_bin,0.00224493806200088
sepal_width_uniform_bin,0.00014959181149112522
petal_length_uniform_bin,0.0517631924312851
petal_width_uniform_bin,0.005799590657782818
sepal_length_robust_scaled,0.0035581787521079254
sepal_width_robust_scaled,2.4856232245548683e-05
petal_length_robust_scaled,0.023867430516534914
petal_width_robust_scaled,0.07210053293141681
sepal_length_max_absolute_scaled,0.003796769152579554
sepal_width_max_absolute_scaled,0.0010694446159555454
petal_length_max_absolute_scaled,0.03676468545407815
petal_width_max_absolute_scaled,0.05595294865648635
sepal_length_max_min_max_scaled,0.000417828609081389
sepal_width_max_min_max_scaled,0.0037193120091172454
petal_length_max_min_max_scaled,0.03947451121947232
petal_width_max_min_max_scaled,0.03348671636903089
sepal_length_logged,0.0
sepal_width_logged,0.00038834961913624934
petal_length_logged,0.05050225046567412
petal_width_logged,0.054396624796091045
sepal_length_standardized,0.0001461988304093567
sepal_width_standardized,0.0003682609456472639
petal_length_standardized,0.02924179130794953
petal_width_standardized,0.07485906687995807
sepal_length_binarized,0.0
sepal_width_binarized,0.0
petal_length_binarized,0.0
petal_width_binarized,0.0
sepal_length_x_sepal_width_interaction,0.0
sepal_length_plus_sepal_width_interaction,0.0002773595631965616
sepal_length_x_petal_length_interaction,0.006502576252375909
sepal_length_plus_petal_length_interaction,0.02839350647347016
sepal_length_x_petal_width_interaction,0.028738198868185957
sepal_length_plus_petal_width_interaction,0.0001467300167691448
sepal_width_x_petal_length_interaction,0.046957080097953824
sepal_width_plus_petal_length_interaction,0.011058264988558527
sepal_width_x_petal_width_interaction,0.026522892513817394
sepal_width_plus_petal_width_interaction,0.0044425131502359135
petal_length_x_petal_width_interaction,0.05348882084471386
petal_length_plus_petal_width_interaction,0.07978535492372223
