feature,importance
sepal_length,0.0018383518492933815
sepal_width,0.0013670546885100065
petal_length,0.0526484968011022
petal_width,0.05156796669830608
sepal_length_quantile_bin,0.0019076045708470997
sepal_width_quantile_bin,0.0002850215918397739
petal_length_quantile_bin,0.0009227330779054916
petal_width_quantile_bin,0.019918155115129964
sepal_length_uniform_bin,0.0007300713847576207
sepal_width_uniform_bin,0.0
petal_length_uniform_bin,0.04110356975001308
petal_width_uniform_bin,0.01113420586164552
sepal_length_robust_scaled,0.0020640862190616322
sepal_width_robust_scaled,0.0023228557872627827
petal_length_robust_scaled,0.045848673544259234
petal_width_robust_scaled,0.03154287575295786
sepal_length_max_absolute_scaled,0.0048349067562068766
sepal_width_max_absolute_scaled,0.0034826526372454085
petal_length_max_absolute_scaled,0.0411958502720423
petal_width_max_absolute_scaled,0.03490690523075297
sepal_length_max_min_max_scaled,0.00038097104045379886
sepal_width_max_min_max_scaled,0.0015972251357806006
petal_length_max_min_max_scaled,0.04010439520048384
petal_width_max_min_max_scaled,0.014453889715146488
sepal_length_logged,0.0012657638498892356
sepal_width_logged,0.0
petal_length_logged,0.046017849581779305
petal_width_logged,0.050193086653413994
sepal_length_standardized,0.004420713393677519
sepal_width_standardized,0.00043301457935604264
petal_length_standardized,0.03949558877789602
petal_width_standardized,0.05056746730513208
sepal_length_binarized,0.0024512970811362707
sepal_width_binarized,0.003681885918728024
petal_length_binarized,0.05220563022347438
petal_width_binarized,0.004994588535051578
sepal_length_x_sepal_width_interaction,0.0006623485647504545
sepal_length_plus_sepal_width_interaction,0.0025651800428546333
sepal_length_x_petal_length_interaction,0.01793771872228479
sepal_length_plus_petal_length_interaction,0.032775127365970644
sepal_length_x_petal_width_interaction,0.013226927341473415
sepal_length_plus_petal_width_interaction,0.015165929994443524
sepal_width_x_petal_length_interaction,0.01396182867680631
sepal_width_plus_petal_length_interaction,0.011852729572910328
sepal_width_x_petal_width_interaction,0.016816912812294086
sepal_width_plus_petal_width_interaction,0.0002943412597928902
petal_length_x_petal_width_interaction,0.08411787721374088
petal_length_plus_petal_width_interaction,0.12873767385213958
