feature,importance
sepal_length,0.001499722706477191
sepal_width,0.0026572896508932696
petal_length,0.05304339499718692
petal_width,0.03831744965533045
sepal_length_quantile_bin,0.0009390464997961583
sepal_width_quantile_bin,0.0013653508323137984
petal_length_quantile_bin,0.0036628909849904813
petal_width_quantile_bin,0.004852554520298774
sepal_length_uniform_bin,0.00025634765625
sepal_width_uniform_bin,0.0002634099616858238
petal_length_uniform_bin,0.036139487889809856
petal_width_uniform_bin,0.0007789604434133071
sepal_length_robust_scaled,0.002660870746245751
sepal_width_robust_scaled,0.001625324973821175
petal_length_robust_scaled,0.055305571192231714
petal_width_robust_scaled,0.046485691758009894
sepal_length_max_absolute_scaled,0.0052856091230174705
sepal_width_max_absolute_scaled,0.0018746296129980718
petal_length_max_absolute_scaled,0.04971120024310184
petal_width_max_absolute_scaled,0.039823707253956044
sepal_length_max_min_max_scaled,0.0012336769461969628
sepal_width_max_min_max_scaled,0.0012936525854708087
petal_length_max_min_max_scaled,0.05420922636050715
petal_width_max_min_max_scaled,0.021275160692044794
sepal_length_logged,0.0010417653459795207
sepal_width_logged,0.0006433241234385337
petal_length_logged,0.06799174775531597
petal_width_logged,0.041903045027125926
sepal_length_standardized,0.005952376429888422
sepal_width_standardized,0.0023638342021603015
petal_length_standardized,0.04538467729670025
petal_width_standardized,0.0467803853959795
sepal_length_binarized,0.0019278670869331716
sepal_width_binarized,0.00045303279116477337
petal_length_binarized,0.0036197320927996894
petal_width_binarized,0.004207335105492332
sepal_length_x_sepal_width_interaction,0.0037147463235517215
sepal_length_plus_sepal_width_interaction,0.0038915492494032387
sepal_length_x_petal_length_interaction,0.023567634758518384
sepal_length_plus_petal_length_interaction,0.025737282506785652
sepal_length_x_petal_width_interaction,0.0209064496130921
sepal_length_plus_petal_width_interaction,0.02471808018614781
sepal_width_x_petal_length_interaction,0.029904809157808857
sepal_width_plus_petal_length_interaction,0.019923453524769656
sepal_width_x_petal_width_interaction,0.01948362119901383
sepal_width_plus_petal_width_interaction,0.001295889759331807
petal_length_x_petal_width_interaction,0.08031518428395373
petal_length_plus_petal_width_interaction,0.09971194949859714
