feature,importance
sepal_length,0.0034263673796422088
sepal_width,0.0016830537381091106
petal_length,0.047468715991127876
petal_width,0.0537895032926204
sepal_length_quantile_bin,0.0029874037086245033
sepal_width_quantile_bin,0.00059070814973291
petal_length_quantile_bin,0.013721726329679669
petal_width_quantile_bin,0.041270996191673445
sepal_length_uniform_bin,0.0021549865364914387
sepal_width_uniform_bin,0.0011407622940806843
petal_length_uniform_bin,0.0532097841039096
petal_width_uniform_bin,0.005599219071841809
sepal_length_robust_scaled,0.0059867460447107865
sepal_width_robust_scaled,0.0007942800194524544
petal_length_robust_scaled,0.05278297625710026
petal_width_robust_scaled,0.03672189479840689
sepal_length_max_absolute_scaled,0.00640005350774639
sepal_width_max_absolute_scaled,0.0016215230451057628
petal_length_max_absolute_scaled,0.05489525365349641
petal_width_max_absolute_scaled,0.053949171422209646
sepal_length_max_min_max_scaled,0.002096647681540148
sepal_width_max_min_max_scaled,0.0006339470565825189
petal_length_max_min_max_scaled,0.04387038094422522
petal_width_max_min_max_scaled,0.027189756882749324
sepal_length_logged,0.0024256793815103407
sepal_width_logged,0.00021881078077243678
petal_length_logged,0.06705535411610804
petal_width_logged,0.05117916511315105
sepal_length_standardized,0.004975968335986108
sepal_width_standardized,0.0006918116722193947
petal_length_standardized,0.032344902708638275
petal_width_standardized,0.0525110830477377
sepal_length_binarized,0.00023809523809523804
sepal_width_binarized,0.0
petal_length_binarized,0.0
petal_width_binarized,0.00021881078077243683
sepal_length_x_sepal_width_interaction,0.001761288216510562
sepal_length_plus_sepal_width_interaction,0.0007607320791415187
sepal_length_x_petal_length_interaction,0.011478863514550693
sepal_length_plus_petal_length_interaction,0.030433688240059917
sepal_length_x_petal_width_interaction,0.018282977935521458
sepal_length_plus_petal_width_interaction,0.00025740025740025744
sepal_width_x_petal_length_interaction,0.05027273298562122
sepal_width_plus_petal_length_interaction,0.012192362729106171
sepal_width_x_petal_width_interaction,0.022495896008990414
sepal_width_plus_petal_width_interaction,0.0016726155284102339
petal_length_x_petal_width_interaction,0.04084165241811865
petal_length_plus_petal_width_interaction,0.0837042508107184
